PreyIndividuals_ID,stm_preyID,Length_mm,Length_Code,Weight_g,Comment
983,2824,19,ML,1.34,"Immature male. Same ID number as the female but in separate jars, Abralia cf heminuchalis"
984,2825,34,SL,2.45,size range
985,2825,32,SL,2.05,size range
986,2825,26,SL,1.15,size range
987,2826,124,SL,81.18,
988,2827,28,TL,0.41,
989,2827,30,TL,0.38,
990,2828,23,TL,0.15,
991,2830,100,SL,1.28,
992,2832,30,TL,2.23,
993,2832,38,TL,1.58,
994,2832,52,TL,3.18,
995,2832,51,TL,1.46,
996,2831,40,SL,0.49,
997,2833,108,SL,7.73,
998,2833,89,SL,5.51,
999,2834,30,AP,2.91,AP ML
1000,2834,25,AP,1.18,AP ML
1001,2835,17.6,CL,2.34,
1002,2836,6.2,CL,0.35,
1003,2837,40,SL,3.11,
1004,2839,23,TL,0.32,
1005,2841,90,TL,0.21,
1006,2841,112,TL,0.41,
1007,2841,71,TL,0.27,
1008,2841,98,TL,0.57,
1009,2844,20,TL,0.54,
1010,2844,25,TL,1.31,
1011,2844,15,TL,0.37,
1012,2844,21,TL,0.74,
1013,2844,16,TL,0.51,
1014,2844,11,TL,0.17,
1015,2845,7,TL,0.16,
1016,2845,12,TL,0.12,
1017,2846,56.2,SL,1.45,
1018,2847,26.9,TL,0.71,
1019,2847,21.8,TL,0.61,
1020,2847,27.1,TL,1.13,
1021,2847,13.5,TL,0.34,
1022,2847,11.4,TL,0.22,
1023,2847,25.9,TL,0.77,
1024,2847,21.8,TL,0.93,
1025,2847,21.9,TL,0.71,
1026,2848,35.4,TL,0.82,
1027,2849,37.4,TL,1.93,
1028,2852,85.3,TL,2.48,23.9mm W
1029,2853,51.2,ML,3.91,
1030,2854,33.3,SL,2.64,
1031,2855,49.9,SL,9.18,
1032,2856,35.4,TL,0.73,
1033,2856,35.3,TL,0.7,
1034,2857,40.5,TL,0.91,
1035,2857,23.9,TL,1.23,
1036,2858,65,AP,0.99,AP ML
1037,2859,23.9,TL,0.37,
1038,2859,21.8,TL,0.34,
1039,2861,23.9,TL,0.16,
1040,2861,22.9,TL,0.14,
1041,2862,60.3,SL,6.56,
1042,2864,39.5,TL,0.76,
1043,2866,103,SL,2.79,
1044,2867,36.4,SL,3.69,
1045,2867,27,SL,1.51,
1046,2867,22.8,SL,0.48,
1047,2867,19.7,SL,0.3,
1048,2868,46.8,SL,1.35,
1049,2870,24,SL,1.8,
1050,2870,20.7,SL,0.88,
1051,2871,57.2,TL,0.22,
1052,2872,84,SL,2.59,
1053,2873,11.4,TL,1.32,
1054,2874,34.3,SL,7.2,
1055,2874,16.6,SL,0.36,
1056,2875,53.1,SL,1.61,
1057,2876,17,TL,0.44,
1058,2876,16,TL,0.42,
1059,2876,20.7,TL,0.36,
1060,2876,18.7,TL,0.35,
1061,2878,9.3,TL,0.24,
1062,2878,12.4,TL,0.33,
1063,2878,10.3,TL,0.19,
1065,2879,19,TL,0.8,17mm W
1066,2880,27,TL,0.36,8mm W
1067,2881,29,SL,4.1,
1068,2882,20.7,SL,0.54,
1069,2882,20.8,SL,0.45,
1070,2882,33.3,SL,3.76,
1071,2883,18.7,TL,0.51,
1072,2884,35.4,ML,1.32,
1073,2886,41.6,SL,1.45,
1074,2885,41.6,SL,7.86,
1075,2885,38.4,SL,4.52,
1076,2885,32.2,SL,4.89,
1077,2888,15.6,TL,0.16,
1078,2889,11.4,TL,0.09,
1079,2890,61.4,SL,1.29,
1080,2891,71.8,SL,2.68,
1081,2892,77,SL,13.21,
1082,2893,55.1,SL,9.7,size range of the big batch
1083,2893,49.9,SL,11.64,size range of the big batch
1084,2893,39.5,SL,7.6,size range of the big batch
1085,2893,60.3,SL,11.29,size range of the big batch
1086,2893,49.9,SL,8.61,size range of the big batch
1087,2893,43.7,SL,5.72,size range of the big batch
1088,2894,54,TL,0.36,16.6mm W
1089,2895,69,SL,4.08,
1090,2896,36,TL,0.93,
1091,2897,16.6,TL,0.31,
1092,2898,10.3,TL,0.15,
1093,2899,15.5,TL,0.34,
1094,2900,12.4,TL,0.42,
1095,2900,11.4,TL,0.31,
1096,2900,11,TL,0.37,
1097,2900,10,TL,0.33,
1099,2901,17.6,TL,0.29,
1100,2902,300,SL,51.04,
1101,2903,41.6,SL,1.59,
1102,2903,37.4,SL,1.81,
1103,2903,34.3,SL,1.07,
1104,2903,30.1,SL,0.94,
1105,2904,90.5,SL,1.89,
1106,2905,96.7,SL,3.85,
1107,2907,83.2,SL,2.4,
1108,2907,73.8,SL,2.95,
1109,2907,60.3,SL,1.83,
1110,2908,45,SL,3.82,
1111,2908,50,SL,5.98,
1112,2909,49,SL,1.28,
1113,2911,39,TL,0.36,29mm W
1114,2912,55,SL,10.24,size range of large batch
1115,2912,49.9,SL,7.21,size range of large batch
1116,2912,54.1,SL,7.91,size range of large batch
1117,2912,44.7,SL,6.35,size range of large batch
1118,2912,40.5,SL,5.01,size range of large batch
1119,2914,52,SL,8.94,
1120,2914,36.4,SL,4.87,
1121,2914,47.8,SL,8.69,
1122,2915,33.3,SL,1.92,
1123,2916,44.7,SL,5.46,
1124,2916,35.4,SL,2.61,
1125,2916,25.9,SL,1.57,
1126,2917,50.9,TL,0.42,
1127,2917,100.9,TL,0.67,
1128,2917,87.4,TL,0.58,
1129,2917,43.7,TL,0.32,
1130,2919,30.1,TL,0.68,
1131,2919,30.2,TL,0.8,
1132,2920,16.6,TL,0.23,
1133,2922,157.5,TL,0.33,
1134,2922,99,TL,0.27,
1135,2922,128.5,TL,0.1,
1136,2922,183,TL,0.17,
1137,2922,76.5,TL,0.1,
1138,2924,213,SL,28.99,
1139,2925,205,SL,26.91,
